Designator,Mid X,Mid Y,Rotation,Layer
C1,44.85,29.7,270.0,top
C10,41.9,39.215,90.0,top
C11,46.9,39.215,90.0,top
C12,44.4,38.515,0.0,top
C13,45.3,43.7,90.0,top
C14,48.1,41.7,270.0,top
C2,44.896745,33.020564,0.0,top
C3,42.65,33.1,180.0,top
C4,51.6,28.1,270.0,top
C5,46.9,32.3,270.0,top
C6,23.5,36.1586,0.0,top
C7,24.2,38.0,270.0,top
C9,21.0,39.0,0.0,top
D1,53.297638,28.6,225.0,top
D2,24.9,48.0,270.0,top
J2,18.5,46.0,0.0,top
J4,49.0,48.5,180.0,top
J5,51.84,35.0,90.0,top
J6,18.5,31.5,0.0,top
L2,44.4,35.915,0.0,top
R1,21.0,37.0,180.0,top
R14,46.200001,42.415,0.0,top
R15,42.6,42.415,0.0,top
R2,21.0,38.0,180.0,top
R3,21.0,36.0,0.0,top
R4,44.4,42.415,0.0,top
R5,50.3,28.1,270.0,top
R6,49.4,28.1,90.0,top
R7,19.0,36.5,270.0,top
U1,52.115,41.2,0.0,top
U2,50.903553,43.5,180.0,top
U3,14.5,37.75,270.0,top
U6,33.45,35.0,0.0,top
U7,44.4,40.515,0.0,top
