Designator,Mid X,Mid Y,Rotation,Layer
C1,44.85,28.0,90.0,top
C10,47.25,35.4,270.0,top
C11,42.25,35.4,270.0,top
C12,44.75,36.1,180.0,top
C2,45.396745,31.020564,0.0,top
C3,43.15,31.1,180.0,top
C4,51.1,27.0,90.0,top
C9,41.75,39.75,90.0,top
D1,53.797638,26.6,225.0,top
D2,25.0,33.0,270.0,top
D3,25.0,45.0,270.0,top
D4,49.1,39.7,0.0,top
J1,33.45,33.0,0.0,bottom
J2,18.7,31.0,0.0,top
J4,18.75,43.0,0.0,top
J5,51.34,33.0,90.0,top
J7,48.0,45.0,180.0,top
L2,44.75,38.7,180.0,top
R14,42.949999,32.2,180.0,top
R15,46.55,32.2,180.0,top
R2,41.75,37.75,90.0,top
R4,44.75,32.2,180.0,top
R5,49.1,27.6,0.0,top
R6,49.1,38.6,0.0,top
U6,33.45,33.0,0.0,top
U7,44.75,34.1,180.0,top
