Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-3528-21_Kemet-B,1,220uF Tant,C122649
C10,C_0603_,1,10uF 35V,C194427
C11,C_0603_,1,10uF 6.3V,C1691
C12,C_0603_,1,100nF,
"C2, C4, C8",C_0402,3,100nF,
C3,C_0603,1,22uF,
"C5, C6, C7",C_0603,3,10uF 35V,C194427
C9,C_0402,1,1uF,
D1,SMD1010,1,XL-1010RGBC-WS2812B,C5349953
D2,DFN1006-2L,1,~,C5137770
J2,WAGO-2060-453-998-404,1,Wago,C2765056
J5,USB-C-Socket-H,1,USB-C-Socket-H,C709357
L2,L_4x4_,1,10uH,
R1,R_0402,1,124K,
R14,R_0402_,1,39k2,
R15,R_0402_,1,1M,
"R2, R3",R_0402,2,10K,
R4,R_0402_,1,124k,
"R5, R6",R_0402,2,5K1,
U1,ICS43434_MEMS_Mic,1,ICS43434_MEMS_Mic,C5656610
U6,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U7,SOT-23-6-MD8942,1,MD8942,C2684786
