Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-3528-21_Kemet-B,1,220uF Tant,C122649
C10,C_0603_,1,10uF 50V,C1591
C11,C_0603_,1,10uF 6.3V,C1691
C12,C_0603_,1,100nF,
C2,C_0402,1,100nF,
C3,C_0603,1,22uF,
C9,C_0402,1,1uF,
D1,SMD1010,1,XL-1010RGBC-WS2812B,C5349953
J1,AA-Pad,1,Reset,
J2,MP011985,1,Screw,C2683167
J5,USB-C-Socket-H,1,USB-C-Socket-H,C709357
L2,L_4x4_,1,10uH,
R14,R_0402_,1,39k2,
R15,R_0402_,1,1M,
R2,R_0402,1,10K,
R4,R_0402_,1,124k,
"R5, R6",R_0402,2,5K1,
U6,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U7,SOT-23-6-MD8942,1,MD8942,C2684786
